english,spanish,portuguese,example_en,example_es,example_pt,source,tags
respiratory rate,frecuencia respiratoria,frequência respiratória,The report discusses respiratory rate in hospitalised patients.,El informe analiza frecuencia respiratoria en pacientes hospitalizados.,O relatório analisa frequência respiratória em pacientes hospitalizados.,Medical exam-style example,clinical
oxygen saturation,saturación de oxígeno,saturação de oxigênio,The report discusses oxygen saturation in hospitalised patients.,El informe analiza saturación de oxígeno en pacientes hospitalizados.,O relatório analisa saturação de oxigênio em pacientes hospitalizados.,Medical exam-style example,clinical
temperature,temperatura,temperatura,The report discusses temperature in hospitalised patients.,El informe analiza temperatura en pacientes hospitalizados.,O relatório analisa temperatura em pacientes hospitalizados.,Medical exam-style example,clinical
pulse,pulso,pulso,The report discusses pulse in hospitalised patients.,El informe analiza pulso en pacientes hospitalizados.,O relatório analisa pulso em pacientes hospitalizados.,Medical exam-style example,clinical
hypertension,hipertensión,hipertensão,The report discusses hypertension in hospitalised patients.,El informe analiza hipertensión en pacientes hospitalizados.,O relatório analisa hipertensão em pacientes hospitalizados.,Medical exam-style example,clinical
hypotension,hipotensión,hipotensão,The report discusses hypotension in hospitalised patients.,El informe analiza hipotensión en pacientes hospitalizados.,O relatório analisa hipotensão em pacientes hospitalizados.,Medical exam-style example,clinical
tachycardia,taquicardia,taquicardia,The report discusses tachycardia in hospitalised patients.,El informe analiza taquicardia en pacientes hospitalizados.,O relatório analisa taquicardia em pacientes hospitalizados.,Medical exam-style example,clinical
bradycardia,bradicardia,bradicardia,The report discusses bradycardia in hospitalised patients.,El informe analiza bradicardia en pacientes hospitalizados.,O relatório analisa bradicardia em pacientes hospitalizados.,Medical exam-style example,clinical
hypoxaemia,hipoxemia,hipoxemia,The report discusses hypoxaemia in hospitalised patients.,El informe analiza hipoxemia en pacientes hospitalizados.,O relatório analisa hipoxemia em pacientes hospitalizados.,Medical exam-style example,clinical
respiratory failure,insuficiencia respiratoria,insuficiência respiratória,The report discusses respiratory failure in hospitalised patients.,El informe analiza insuficiencia respiratoria en pacientes hospitalizados.,O relatório analisa insuficiência respiratória em pacientes hospitalizados.,Medical exam-style example,clinical
renal failure,insuficiencia renal,insuficiência renal,The report discusses renal failure in hospitalised patients.,El informe analiza insuficiencia renal en pacientes hospitalizados.,O relatório analisa insuficiência renal em pacientes hospitalizados.,Medical exam-style example,clinical
liver failure,insuficiencia hepática,insuficiência hepática,The report discusses liver failure in hospitalised patients.,El informe analiza insuficiencia hepática en pacientes hospitalizados.,O relatório analisa insuficiência hepática em pacientes hospitalizados.,Medical exam-style example,clinical
heart failure,insuficiencia cardíaca,insuficiência cardíaca,The report discusses heart failure in hospitalised patients.,El informe analiza insuficiencia cardíaca en pacientes hospitalizados.,O relatório analisa insuficiência cardíaca em pacientes hospitalizados.,Medical exam-style example,clinical
kidney injury,lesión renal,lesão renal,The report discusses kidney injury in hospitalised patients.,El informe analiza lesión renal en pacientes hospitalizados.,O relatório analisa lesão renal em pacientes hospitalizados.,Medical exam-style example,clinical
liver injury,lesión hepática,lesão hepática,The report discusses liver injury in hospitalised patients.,El informe analiza lesión hepática en pacientes hospitalizados.,O relatório analisa lesão hepática em pacientes hospitalizados.,Medical exam-style example,clinical
infection,infección,infecção,The report discusses infection in hospitalised patients.,El informe analiza infección en pacientes hospitalizados.,O relatório analisa infecção em pacientes hospitalizados.,Medical exam-style example,clinical
inflammation,inflamación,inflamação,The report discusses inflammation in hospitalised patients.,El informe analiza inflamación en pacientes hospitalizados.,O relatório analisa inflamação em pacientes hospitalizados.,Medical exam-style example,clinical
pneumonia,neumonía,pneumonia,The report discusses pneumonia in hospitalised patients.,El informe analiza neumonía en pacientes hospitalizados.,O relatório analisa pneumonia em pacientes hospitalizados.,Medical exam-style example,clinical
sepsis,sepsis,sepse,The report discusses sepsis in hospitalised patients.,El informe analiza sepsis en pacientes hospitalizados.,O relatório analisa sepse em pacientes hospitalizados.,Medical exam-style example,clinical
shock,shock,choque,The report discusses shock in hospitalised patients.,El informe analiza shock en pacientes hospitalizados.,O relatório analisa choque em pacientes hospitalizados.,Medical exam-style example,clinical
stroke,accidente cerebrovascular,acidente vascular cerebral,The report discusses stroke in hospitalised patients.,El informe analiza accidente cerebrovascular en pacientes hospitalizados.,O relatório analisa acidente vascular cerebral em pacientes hospitalizados.,Medical exam-style example,clinical
myocardial infarction,infarto de miocardio,infarto do miocárdio,The report discusses myocardial infarction in hospitalised patients.,El informe analiza infarto de miocardio en pacientes hospitalizados.,O relatório analisa infarto do miocárdio em pacientes hospitalizados.,Medical exam-style example,clinical
arrhythmia,arritmia,arritmia,The report discusses arrhythmia in hospitalised patients.,El informe analiza arritmia en pacientes hospitalizados.,O relatório analisa arritmia em pacientes hospitalizados.,Medical exam-style example,clinical
thrombosis,trombosis,trombose,The report discusses thrombosis in hospitalised patients.,El informe analiza trombosis en pacientes hospitalizados.,O relatório analisa trombose em pacientes hospitalizados.,Medical exam-style example,clinical
embolism,embolia,embolia,The report discusses embolism in hospitalised patients.,El informe analiza embolia en pacientes hospitalizados.,O relatório analisa embolia em pacientes hospitalizados.,Medical exam-style example,clinical
haemorrhage,hemorragia,hemorragia,The report discusses haemorrhage in hospitalised patients.,El informe analiza hemorragia en pacientes hospitalizados.,O relatório analisa hemorragia em pacientes hospitalizados.,Medical exam-style example,clinical
anaemia,anemia,anemia,The report discusses anaemia in hospitalised patients.,El informe analiza anemia en pacientes hospitalizados.,O relatório analisa anemia em pacientes hospitalizados.,Medical exam-style example,clinical
thrombocytopenia,trombocitopenia,trombocitopenia,The report discusses thrombocytopenia in hospitalised patients.,El informe analiza trombocitopenia en pacientes hospitalizados.,O relatório analisa trombocitopenia em pacientes hospitalizados.,Medical exam-style example,clinical
renal impairment,deterioro renal,comprometimento renal,The report discusses renal impairment in hospitalised patients.,El informe analiza deterioro renal en pacientes hospitalizados.,O relatório analisa comprometimento renal em pacientes hospitalizados.,Medical exam-style example,clinical
liver disease,enfermedad hepática,doença hepática,The report discusses liver disease in hospitalised patients.,El informe analiza enfermedad hepática en pacientes hospitalizados.,O relatório analisa doença hepática em pacientes hospitalizados.,Medical exam-style example,clinical
cancer,cáncer,câncer,The report discusses cancer in hospitalised patients.,El informe analiza cáncer en pacientes hospitalizados.,O relatório analisa câncer em pacientes hospitalizados.,Medical exam-style example,clinical
diabetes,diabetes,diabetes,The report discusses diabetes in hospitalised patients.,El informe analiza diabetes en pacientes hospitalizados.,O relatório analisa diabetes em pacientes hospitalizados.,Medical exam-style example,clinical
obesity,obesidad,obesidade,The report discusses obesity in hospitalised patients.,El informe analiza obesidad en pacientes hospitalizados.,O relatório analisa obesidade em pacientes hospitalizados.,Medical exam-style example,clinical
pregnancy,embarazo,gestação,The report discusses pregnancy in hospitalised patients.,El informe analiza embarazo en pacientes hospitalizados.,O relatório analisa gestação em pacientes hospitalizados.,Medical exam-style example,clinical
elderly patients,pacientes ancianos,pacientes idosos,The report discusses elderly patients in hospitalised patients.,El informe analiza pacientes ancianos en pacientes hospitalizados.,O relatório analisa pacientes idosos em pacientes hospitalizados.,Medical exam-style example,clinical
children,niños,crianças,The report discusses children in hospitalised patients.,El informe analiza niños en pacientes hospitalizados.,O relatório analisa crianças em pacientes hospitalizados.,Medical exam-style example,clinical
adults,adultos,adultos,The report discusses adults in hospitalised patients.,El informe analiza adultos en pacientes hospitalizados.,O relatório analisa adultos em pacientes hospitalizados.,Medical exam-style example,clinical
men,hombres,homens,The report discusses men in hospitalised patients.,El informe analiza hombres en pacientes hospitalizados.,O relatório analisa homens em pacientes hospitalizados.,Medical exam-style example,clinical
women,mujeres,mulheres,The report discusses women in hospitalised patients.,El informe analiza mujeres en pacientes hospitalizados.,O relatório analisa mulheres em pacientes hospitalizados.,Medical exam-style example,clinical
dose,dosis,dose,The protocol included dose for selected hospitalised patients.,El protocolo incluyó dosis para pacientes hospitalizados seleccionados.,O protocolo incluiu dose para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
dosage,posología / dosificación,posologia / dosagem,The protocol included dosage for selected hospitalised patients.,El protocolo incluyó posología / dosificación para pacientes hospitalizados seleccionados.,O protocolo incluiu posologia / dosagem para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
drug,fármaco / medicamento,fármaco / medicamento,The protocol included drug for selected hospitalised patients.,El protocolo incluyó fármaco / medicamento para pacientes hospitalizados seleccionados.,O protocolo incluiu fármaco / medicamento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
medication,medicación,medicação,The protocol included medication for selected hospitalised patients.,El protocolo incluyó medicación para pacientes hospitalizados seleccionados.,O protocolo incluiu medicação para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
therapy,terapia,terapia,The protocol included therapy for selected hospitalised patients.,El protocolo incluyó terapia para pacientes hospitalizados seleccionados.,O protocolo incluiu terapia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
standard care,atención estándar,cuidado padrão,The protocol included standard care for selected hospitalised patients.,El protocolo incluyó atención estándar para pacientes hospitalizados seleccionados.,O protocolo incluiu cuidado padrão para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
supportive care,tratamiento de soporte,tratamento de suporte,The protocol included supportive care for selected hospitalised patients.,El protocolo incluyó tratamiento de soporte para pacientes hospitalizados seleccionados.,O protocolo incluiu tratamento de suporte para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
intensive care,cuidados intensivos,terapia intensiva,The protocol included intensive care for selected hospitalised patients.,El protocolo incluyó cuidados intensivos para pacientes hospitalizados seleccionados.,O protocolo incluiu terapia intensiva para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
mechanical ventilation,ventilación mecánica,ventilação mecânica,The protocol included mechanical ventilation for selected hospitalised patients.,El protocolo incluyó ventilación mecánica para pacientes hospitalizados seleccionados.,O protocolo incluiu ventilação mecânica para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
oxygen therapy,oxigenoterapia,oxigenoterapia,The protocol included oxygen therapy for selected hospitalised patients.,El protocolo incluyó oxigenoterapia para pacientes hospitalizados seleccionados.,O protocolo incluiu oxigenoterapia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
surgery,cirugía,cirurgia,The protocol included surgery for selected hospitalised patients.,El protocolo incluyó cirugía para pacientes hospitalizados seleccionados.,O protocolo incluiu cirurgia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
procedure,procedimiento,procedimento,The protocol included procedure for selected hospitalised patients.,El protocolo incluyó procedimiento para pacientes hospitalizados seleccionados.,O protocolo incluiu procedimento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
prevention,prevención,prevenção,The protocol included prevention for selected hospitalised patients.,El protocolo incluyó prevención para pacientes hospitalizados seleccionados.,O protocolo incluiu prevenção para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
prophylaxis,profilaxis,profilaxia,The protocol included prophylaxis for selected hospitalised patients.,El protocolo incluyó profilaxis para pacientes hospitalizados seleccionados.,O protocolo incluiu profilaxia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
thromboprophylaxis,tromboprofilaxis,tromboprofilaxia,The protocol included thromboprophylaxis for selected hospitalised patients.,El protocolo incluyó tromboprofilaxis para pacientes hospitalizados seleccionados.,O protocolo incluiu tromboprofilaxia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
extended prophylaxis,profilaxis extendida,profilaxia prolongada,The protocol included extended prophylaxis for selected hospitalised patients.,El protocolo incluyó profilaxis extendida para pacientes hospitalizados seleccionados.,O protocolo incluiu profilaxia prolongada para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
response to treatment,respuesta al tratamiento,resposta ao tratamento,The protocol included response to treatment for selected hospitalised patients.,El protocolo incluyó respuesta al tratamiento para pacientes hospitalizados seleccionados.,O protocolo incluiu resposta ao tratamento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
treatment failure,fracaso terapéutico,falha terapêutica,The protocol included treatment failure for selected hospitalised patients.,El protocolo incluyó fracaso terapéutico para pacientes hospitalizados seleccionados.,O protocolo incluiu falha terapêutica para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
recovery,recuperación,recuperação,The report discusses recovery in hospitalised patients.,El informe analiza recuperación en pacientes hospitalizados.,O relatório analisa recuperação em pacientes hospitalizados.,Medical exam-style example,clinical
improvement,mejoría,melhora,The report discusses improvement in hospitalised patients.,El informe analiza mejoría en pacientes hospitalizados.,O relatório analisa melhora em pacientes hospitalizados.,Medical exam-style example,clinical
worsening,empeoramiento,piora / agravamento,The report discusses worsening in hospitalised patients.,El informe analiza empeoramiento en pacientes hospitalizados.,O relatório analisa piora / agravamento em pacientes hospitalizados.,Medical exam-style example,clinical
resolution,resolución,resolução,The report discusses resolution in hospitalised patients.,El informe analiza resolución en pacientes hospitalizados.,O relatório analisa resolução em pacientes hospitalizados.,Medical exam-style example,clinical
recurrence,recurrencia,recorrência,The report discusses recurrence in hospitalised patients.,El informe analiza recurrencia en pacientes hospitalizados.,O relatório analisa recorrência em pacientes hospitalizados.,Medical exam-style example,clinical
complication,complicación,complicação,The report discusses complication in hospitalised patients.,El informe analiza complicación en pacientes hospitalizados.,O relatório analisa complicação em pacientes hospitalizados.,Medical exam-style example,clinical
length of stay,duración de la internación,tempo de internação,The report discusses length of stay in hospitalised patients.,El informe analiza duración de la internación en pacientes hospitalizados.,O relatório analisa tempo de internação em pacientes hospitalizados.,Medical exam-style example,clinical
readmission,reingreso hospitalario,reinternação,The report discusses readmission in hospitalised patients.,El informe analiza reingreso hospitalario en pacientes hospitalizados.,O relatório analisa reinternação em pacientes hospitalizados.,Medical exam-style example,clinical
hospital stay,estancia hospitalaria,permanência hospitalar,The report discusses hospital stay in hospitalised patients.,El informe analiza estancia hospitalaria en pacientes hospitalizados.,O relatório analisa permanência hospitalar em pacientes hospitalizados.,Medical exam-style example,clinical
ward,sala / planta de internación,enfermaria,The report discusses ward in hospitalised patients.,El informe analiza sala / planta de internación en pacientes hospitalizados.,O relatório analisa enfermaria em pacientes hospitalizados.,Medical exam-style example,clinical
emergency department,servicio de urgencias,pronto-socorro,The report discusses emergency department in hospitalised patients.,El informe analiza servicio de urgencias en pacientes hospitalizados.,O relatório analisa pronto-socorro em pacientes hospitalizados.,Medical exam-style example,clinical
intensive care unit,unidad de cuidados intensivos,unidade de terapia intensiva,The report discusses intensive care unit in hospitalised patients.,El informe analiza unidad de cuidados intensivos en pacientes hospitalizados.,O relatório analisa unidade de terapia intensiva em pacientes hospitalizados.,Medical exam-style example,clinical
physician,médico,médico,The report discusses physician in hospitalised patients.,El informe analiza médico en pacientes hospitalizados.,O relatório analisa médico em pacientes hospitalizados.,Medical exam-style example,clinical
nurse,enfermero / enfermera,enfermeiro / enfermeira,The report discusses nurse in hospitalised patients.,El informe analiza enfermero / enfermera en pacientes hospitalizados.,O relatório analisa enfermeiro / enfermeira em pacientes hospitalizados.,Medical exam-style example,clinical
researcher,investigador,pesquisador,The authors described researcher in the methods and results sections.,Los autores describieron investigador en las secciones de métodos y resultados.,Os autores descreveram pesquisador nas seções de métodos e resultados.,Medical exam-style example,study
investigator,investigador,investigador,The authors described investigator in the methods and results sections.,Los autores describieron investigador en las secciones de métodos y resultados.,Os autores descreveram investigador nas seções de métodos e resultados.,Medical exam-style example,study
participant,participante,participante,The authors described participant in the methods and results sections.,Los autores describieron participante en las secciones de métodos y resultados.,Os autores descreveram participante nas seções de métodos e resultados.,Medical exam-style example,study
caregiver,cuidador,cuidador,The report discusses caregiver in hospitalised patients.,El informe analiza cuidador en pacientes hospitalizados.,O relatório analisa cuidador em pacientes hospitalizados.,Medical exam-style example,clinical
assess,evaluar,avaliar,The researchers used the available data to assess the main clinical outcome.,Los investigadores utilizaron los datos disponibles para evaluar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para avaliar o principal desfecho clínico.,Medical exam-style example,verb
evaluate,evaluar,avaliar,The researchers used the available data to evaluate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para evaluar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para avaliar o principal desfecho clínico.,Medical exam-style example,verb
measure,medir,medir,The researchers used the available data to measure the main clinical outcome.,Los investigadores utilizaron los datos disponibles para medir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para medir o principal desfecho clínico.,Medical exam-style example,verb
compare,comparar,comparar,The researchers used the available data to compare the main clinical outcome.,Los investigadores utilizaron los datos disponibles para comparar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para comparar o principal desfecho clínico.,Medical exam-style example,verb
identify,identificar,identificar,The researchers used the available data to identify the main clinical outcome.,Los investigadores utilizaron los datos disponibles para identificar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para identificar o principal desfecho clínico.,Medical exam-style example,verb
determine,determinar,determinar,The researchers used the available data to determine the main clinical outcome.,Los investigadores utilizaron los datos disponibles para determinar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para determinar o principal desfecho clínico.,Medical exam-style example,verb
estimate,estimar,estimar,The researchers used the available data to estimate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para estimar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para estimar o principal desfecho clínico.,Medical exam-style example,verb
report,informar / reportar,relatar / reportar,The researchers used the available data to report the main clinical outcome.,Los investigadores utilizaron los datos disponibles para informar / reportar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para relatar / reportar o principal desfecho clínico.,Medical exam-style example,verb
record,registrar,registrar,The researchers used the available data to record the main clinical outcome.,Los investigadores utilizaron los datos disponibles para registrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para registrar o principal desfecho clínico.,Medical exam-style example,verb
monitor,monitorear,monitorar,The researchers used the available data to monitor the main clinical outcome.,Los investigadores utilizaron los datos disponibles para monitorear el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para monitorar o principal desfecho clínico.,Medical exam-style example,verb
observe,observar,observar,The researchers used the available data to observe the main clinical outcome.,Los investigadores utilizaron los datos disponibles para observar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para observar o principal desfecho clínico.,Medical exam-style example,verb
suggest,sugerir,sugerir,The researchers used the available data to suggest the main clinical outcome.,Los investigadores utilizaron los datos disponibles para sugerir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para sugerir o principal desfecho clínico.,Medical exam-style example,verb
support,respaldar / apoyar,apoiar,The researchers used the available data to support the main clinical outcome.,Los investigadores utilizaron los datos disponibles para respaldar / apoyar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para apoiar o principal desfecho clínico.,Medical exam-style example,verb
indicate,indicar,indicar,The researchers used the available data to indicate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para indicar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para indicar o principal desfecho clínico.,Medical exam-style example,verb
demonstrate,demostrar,demonstrar,The researchers used the available data to demonstrate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para demostrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para demonstrar o principal desfecho clínico.,Medical exam-style example,verb
confirm,confirmar,confirmar,The researchers used the available data to confirm the main clinical outcome.,Los investigadores utilizaron los datos disponibles para confirmar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para confirmar o principal desfecho clínico.,Medical exam-style example,verb
rule out,descartar,descartar,The researchers used the available data to rule out the main clinical outcome.,Los investigadores utilizaron los datos disponibles para descartar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para descartar o principal desfecho clínico.,Medical exam-style example,verb
predict,predecir,predizer,The researchers used the available data to predict the main clinical outcome.,Los investigadores utilizaron los datos disponibles para predecir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para predizer o principal desfecho clínico.,Medical exam-style example,verb
prevent,prevenir,prevenir,The researchers used the available data to prevent the main clinical outcome.,Los investigadores utilizaron los datos disponibles para prevenir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para prevenir o principal desfecho clínico.,Medical exam-style example,verb
manage,manejar / tratar,manejar / tratar,The researchers used the available data to manage the main clinical outcome.,Los investigadores utilizaron los datos disponibles para manejar / tratar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para manejar / tratar o principal desfecho clínico.,Medical exam-style example,verb
administer,administrar,administrar,The researchers used the available data to administer the main clinical outcome.,Los investigadores utilizaron los datos disponibles para administrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para administrar o principal desfecho clínico.,Medical exam-style example,verb
prescribe,prescribir,prescrever,The researchers used the available data to prescribe the main clinical outcome.,Los investigadores utilizaron los datos disponibles para prescribir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para prescrever o principal desfecho clínico.,Medical exam-style example,verb
undergo,someterse a,submeter-se a,The researchers used the available data to undergo the main clinical outcome.,Los investigadores utilizaron los datos disponibles para someterse a el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para submeter-se a o principal desfecho clínico.,Medical exam-style example,verb
require,requerir / necesitar,necessitar,The researchers used the available data to require the main clinical outcome.,Los investigadores utilizaron los datos disponibles para requerir / necesitar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para necessitar o principal desfecho clínico.,Medical exam-style example,verb
remain,permanecer,permanecer,The researchers used the available data to remain the main clinical outcome.,Los investigadores utilizaron los datos disponibles para permanecer el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para permanecer o principal desfecho clínico.,Medical exam-style example,verb
occur,ocurrir,ocorrer,The researchers used the available data to occur the main clinical outcome.,Los investigadores utilizaron los datos disponibles para ocurrir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para ocorrer o principal desfecho clínico.,Medical exam-style example,verb
lead to,llevar a,levar a,The researchers used the available data to lead to the main clinical outcome.,Los investigadores utilizaron los datos disponibles para llevar a el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para levar a o principal desfecho clínico.,Medical exam-style example,verb
result in,dar lugar a / resultar en,resultar em,The researchers used the available data to result in the main clinical outcome.,Los investigadores utilizaron los datos disponibles para dar lugar a / resultar en el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para resultar em o principal desfecho clínico.,Medical exam-style example,verb
be associated with,estar asociado con,estar associado a,The researchers used the available data to be associated with the main clinical outcome.,Los investigadores utilizaron los datos disponibles para estar asociado con el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para estar associado a o principal desfecho clínico.,Medical exam-style example,verb
be related to,estar relacionado con,estar relacionado a,The researchers used the available data to be related to the main clinical outcome.,Los investigadores utilizaron los datos disponibles para estar relacionado con el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para estar relacionado a o principal desfecho clínico.,Medical exam-style example,verb
be due to,deberse a,ser devido a,The researchers used the available data to be due to the main clinical outcome.,Los investigadores utilizaron los datos disponibles para deberse a el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para ser devido a o principal desfecho clínico.,Medical exam-style example,verb
because of,debido a,devido a,"Because of, the authors recommended cautious interpretation of the results.","Debido a, los autores recomendaron una interpretación cautelosa de los resultados.","Devido a, os autores recomendaram uma interpretação cuidadosa dos resultados.",Medical exam-style example,connector
