id,english,spanish,portuguese,example_en,example_es,example_pt,source,tags
card-c629da3c8da3dc80,vomiting,vómitos,vômitos,The report discusses vomiting in hospitalised patients.,El informe analiza vómitos en pacientes hospitalizados.,O relatório analisa vômitos em pacientes hospitalizados.,Medical exam-style example,clinical
card-036a81a775bd01c6,diarrhoea,diarrea,diarreia,The report discusses diarrhoea in hospitalised patients.,El informe analiza diarrea en pacientes hospitalizados.,O relatório analisa diarreia em pacientes hospitalizados.,Medical exam-style example,clinical
card-f79c7ed641f29acc,constipation,estreñimiento,constipação,The report discusses constipation in hospitalised patients.,El informe analiza estreñimiento en pacientes hospitalizados.,O relatório analisa constipação em pacientes hospitalizados.,Medical exam-style example,clinical
card-7272a827243acc03,loss of appetite,pérdida de apetito,perda de apetite,The report discusses loss of appetite in hospitalised patients.,El informe analiza pérdida de apetito en pacientes hospitalizados.,O relatório analisa perda de apetite em pacientes hospitalizados.,Medical exam-style example,clinical
card-ec261491485cad33,weight loss,pérdida de peso,perda de peso,The report discusses weight loss in hospitalised patients.,El informe analiza pérdida de peso en pacientes hospitalizados.,O relatório analisa perda de peso em pacientes hospitalizados.,Medical exam-style example,clinical
card-a40c2e8d54e6e056,swelling,hinchazón,inchaço,The report discusses swelling in hospitalised patients.,El informe analiza hinchazón en pacientes hospitalizados.,O relatório analisa inchaço em pacientes hospitalizados.,Medical exam-style example,clinical
card-298331bb1ffef6f3,oedema,edema,edema,The report discusses oedema in hospitalised patients.,El informe analiza edema en pacientes hospitalizados.,O relatório analisa edema em pacientes hospitalizados.,Medical exam-style example,clinical
card-4f6f064362e732b6,rash,erupción cutánea,erupção cutânea,The report discusses rash in hospitalised patients.,El informe analiza erupción cutánea en pacientes hospitalizados.,O relatório analisa erupção cutânea em pacientes hospitalizados.,Medical exam-style example,clinical
card-44058802466339a2,itching,prurito / picazón,prurido / coceira,The report discusses itching in hospitalised patients.,El informe analiza prurito / picazón en pacientes hospitalizados.,O relatório analisa prurido / coceira em pacientes hospitalizados.,Medical exam-style example,clinical
card-f99bdee4af7edc21,fainting,síncope / desmayo,desmaio / síncope,The report discusses fainting in hospitalised patients.,El informe analiza síncope / desmayo en pacientes hospitalizados.,O relatório analisa desmaio / síncope em pacientes hospitalizados.,Medical exam-style example,clinical
card-4b879e9f69bb529b,seizure,convulsión,convulsão,The report discusses seizure in hospitalised patients.,El informe analiza convulsión en pacientes hospitalizados.,O relatório analisa convulsão em pacientes hospitalizados.,Medical exam-style example,clinical
card-003a7a99f8dc0add,consciousness,conciencia,consciência,The report discusses consciousness in hospitalised patients.,El informe analiza conciencia en pacientes hospitalizados.,O relatório analisa consciência em pacientes hospitalizados.,Medical exam-style example,clinical
card-bd01a89edc9ae07e,blood pressure,presión arterial,pressão arterial,The report discusses blood pressure in hospitalised patients.,El informe analiza presión arterial en pacientes hospitalizados.,O relatório analisa pressão arterial em pacientes hospitalizados.,Medical exam-style example,clinical
card-2e060091f636463a,heart rate,frecuencia cardíaca,frequência cardíaca,The report discusses heart rate in hospitalised patients.,El informe analiza frecuencia cardíaca en pacientes hospitalizados.,O relatório analisa frequência cardíaca em pacientes hospitalizados.,Medical exam-style example,clinical
card-d55f1795c0315e89,respiratory rate,frecuencia respiratoria,frequência respiratória,The report discusses respiratory rate in hospitalised patients.,El informe analiza frecuencia respiratoria en pacientes hospitalizados.,O relatório analisa frequência respiratória em pacientes hospitalizados.,Medical exam-style example,clinical
card-f9d2bbdd9b6329b0,oxygen saturation,saturación de oxígeno,saturação de oxigênio,The report discusses oxygen saturation in hospitalised patients.,El informe analiza saturación de oxígeno en pacientes hospitalizados.,O relatório analisa saturação de oxigênio em pacientes hospitalizados.,Medical exam-style example,clinical
card-b314ae60cb741e69,temperature,temperatura,temperatura,The report discusses temperature in hospitalised patients.,El informe analiza temperatura en pacientes hospitalizados.,O relatório analisa temperatura em pacientes hospitalizados.,Medical exam-style example,clinical
card-41b589ea15f2d94a,pulse,pulso,pulso,The report discusses pulse in hospitalised patients.,El informe analiza pulso en pacientes hospitalizados.,O relatório analisa pulso em pacientes hospitalizados.,Medical exam-style example,clinical
card-97cf39b495a535aa,hypertension,hipertensión,hipertensão,The report discusses hypertension in hospitalised patients.,El informe analiza hipertensión en pacientes hospitalizados.,O relatório analisa hipertensão em pacientes hospitalizados.,Medical exam-style example,clinical
card-ee6fe3240e4ffeec,hypotension,hipotensión,hipotensão,The report discusses hypotension in hospitalised patients.,El informe analiza hipotensión en pacientes hospitalizados.,O relatório analisa hipotensão em pacientes hospitalizados.,Medical exam-style example,clinical
card-1a577f7e9723b98f,tachycardia,taquicardia,taquicardia,The report discusses tachycardia in hospitalised patients.,El informe analiza taquicardia en pacientes hospitalizados.,O relatório analisa taquicardia em pacientes hospitalizados.,Medical exam-style example,clinical
card-ae9f9882da81ada5,bradycardia,bradicardia,bradicardia,The report discusses bradycardia in hospitalised patients.,El informe analiza bradicardia en pacientes hospitalizados.,O relatório analisa bradicardia em pacientes hospitalizados.,Medical exam-style example,clinical
card-9cf889581ad3aa20,hypoxaemia,hipoxemia,hipoxemia,The report discusses hypoxaemia in hospitalised patients.,El informe analiza hipoxemia en pacientes hospitalizados.,O relatório analisa hipoxemia em pacientes hospitalizados.,Medical exam-style example,clinical
card-0f60b78bec3ef9d8,respiratory failure,insuficiencia respiratoria,insuficiência respiratória,The report discusses respiratory failure in hospitalised patients.,El informe analiza insuficiencia respiratoria en pacientes hospitalizados.,O relatório analisa insuficiência respiratória em pacientes hospitalizados.,Medical exam-style example,clinical
card-836f3413ec4039d7,renal failure,insuficiencia renal,insuficiência renal,The report discusses renal failure in hospitalised patients.,El informe analiza insuficiencia renal en pacientes hospitalizados.,O relatório analisa insuficiência renal em pacientes hospitalizados.,Medical exam-style example,clinical
card-dd5ea96baa163163,liver failure,insuficiencia hepática,insuficiência hepática,The report discusses liver failure in hospitalised patients.,El informe analiza insuficiencia hepática en pacientes hospitalizados.,O relatório analisa insuficiência hepática em pacientes hospitalizados.,Medical exam-style example,clinical
card-671d63b4d61ba496,heart failure,insuficiencia cardíaca,insuficiência cardíaca,The report discusses heart failure in hospitalised patients.,El informe analiza insuficiencia cardíaca en pacientes hospitalizados.,O relatório analisa insuficiência cardíaca em pacientes hospitalizados.,Medical exam-style example,clinical
card-12af92459d21fb43,kidney injury,lesión renal,lesão renal,The report discusses kidney injury in hospitalised patients.,El informe analiza lesión renal en pacientes hospitalizados.,O relatório analisa lesão renal em pacientes hospitalizados.,Medical exam-style example,clinical
card-d7292613161caa11,liver injury,lesión hepática,lesão hepática,The report discusses liver injury in hospitalised patients.,El informe analiza lesión hepática en pacientes hospitalizados.,O relatório analisa lesão hepática em pacientes hospitalizados.,Medical exam-style example,clinical
card-3f36e4307cf5d409,infection,infección,infecção,The report discusses infection in hospitalised patients.,El informe analiza infección en pacientes hospitalizados.,O relatório analisa infecção em pacientes hospitalizados.,Medical exam-style example,clinical
card-68235db671c09807,inflammation,inflamación,inflamação,The report discusses inflammation in hospitalised patients.,El informe analiza inflamación en pacientes hospitalizados.,O relatório analisa inflamação em pacientes hospitalizados.,Medical exam-style example,clinical
card-72a8df6694d5ca04,pneumonia,neumonía,pneumonia,The report discusses pneumonia in hospitalised patients.,El informe analiza neumonía en pacientes hospitalizados.,O relatório analisa pneumonia em pacientes hospitalizados.,Medical exam-style example,clinical
card-ea560944f08cca0c,sepsis,sepsis,sepse,The report discusses sepsis in hospitalised patients.,El informe analiza sepsis en pacientes hospitalizados.,O relatório analisa sepse em pacientes hospitalizados.,Medical exam-style example,clinical
card-74cac794aefecdbb,shock,shock,choque,The report discusses shock in hospitalised patients.,El informe analiza shock en pacientes hospitalizados.,O relatório analisa choque em pacientes hospitalizados.,Medical exam-style example,clinical
card-1ba7573640bbbb13,stroke,accidente cerebrovascular,acidente vascular cerebral,The report discusses stroke in hospitalised patients.,El informe analiza accidente cerebrovascular en pacientes hospitalizados.,O relatório analisa acidente vascular cerebral em pacientes hospitalizados.,Medical exam-style example,clinical
card-4a97a2620aef3453,myocardial infarction,infarto de miocardio,infarto do miocárdio,The report discusses myocardial infarction in hospitalised patients.,El informe analiza infarto de miocardio en pacientes hospitalizados.,O relatório analisa infarto do miocárdio em pacientes hospitalizados.,Medical exam-style example,clinical
card-e896a76fc77724df,arrhythmia,arritmia,arritmia,The report discusses arrhythmia in hospitalised patients.,El informe analiza arritmia en pacientes hospitalizados.,O relatório analisa arritmia em pacientes hospitalizados.,Medical exam-style example,clinical
card-1b3c89a212dd2787,thrombosis,trombosis,trombose,The report discusses thrombosis in hospitalised patients.,El informe analiza trombosis en pacientes hospitalizados.,O relatório analisa trombose em pacientes hospitalizados.,Medical exam-style example,clinical
card-b5e4f3f73b582d99,embolism,embolia,embolia,The report discusses embolism in hospitalised patients.,El informe analiza embolia en pacientes hospitalizados.,O relatório analisa embolia em pacientes hospitalizados.,Medical exam-style example,clinical
card-2985e99485dec99e,haemorrhage,hemorragia,hemorragia,The report discusses haemorrhage in hospitalised patients.,El informe analiza hemorragia en pacientes hospitalizados.,O relatório analisa hemorragia em pacientes hospitalizados.,Medical exam-style example,clinical
card-51c04d2319180c79,anaemia,anemia,anemia,The report discusses anaemia in hospitalised patients.,El informe analiza anemia en pacientes hospitalizados.,O relatório analisa anemia em pacientes hospitalizados.,Medical exam-style example,clinical
card-06ea0cc5c018c11d,thrombocytopenia,trombocitopenia,trombocitopenia,The report discusses thrombocytopenia in hospitalised patients.,El informe analiza trombocitopenia en pacientes hospitalizados.,O relatório analisa trombocitopenia em pacientes hospitalizados.,Medical exam-style example,clinical
card-4386989e2f4b70d8,renal impairment,deterioro renal,comprometimento renal,The report discusses renal impairment in hospitalised patients.,El informe analiza deterioro renal en pacientes hospitalizados.,O relatório analisa comprometimento renal em pacientes hospitalizados.,Medical exam-style example,clinical
card-25117708e7d30b28,liver disease,enfermedad hepática,doença hepática,The report discusses liver disease in hospitalised patients.,El informe analiza enfermedad hepática en pacientes hospitalizados.,O relatório analisa doença hepática em pacientes hospitalizados.,Medical exam-style example,clinical
card-5600ae99b14ef8e5,cancer,cáncer,câncer,The report discusses cancer in hospitalised patients.,El informe analiza cáncer en pacientes hospitalizados.,O relatório analisa câncer em pacientes hospitalizados.,Medical exam-style example,clinical
card-6a5d28d69b8b05a6,diabetes,diabetes,diabetes,The report discusses diabetes in hospitalised patients.,El informe analiza diabetes en pacientes hospitalizados.,O relatório analisa diabetes em pacientes hospitalizados.,Medical exam-style example,clinical
card-a3cca0ced5ece765,obesity,obesidad,obesidade,The report discusses obesity in hospitalised patients.,El informe analiza obesidad en pacientes hospitalizados.,O relatório analisa obesidade em pacientes hospitalizados.,Medical exam-style example,clinical
card-f1d6a553546aa7a9,pregnancy,embarazo,gestação,The report discusses pregnancy in hospitalised patients.,El informe analiza embarazo en pacientes hospitalizados.,O relatório analisa gestação em pacientes hospitalizados.,Medical exam-style example,clinical
card-5aede12fb08b90ac,elderly patients,pacientes ancianos,pacientes idosos,The report discusses elderly patients in hospitalised patients.,El informe analiza pacientes ancianos en pacientes hospitalizados.,O relatório analisa pacientes idosos em pacientes hospitalizados.,Medical exam-style example,clinical
card-10910087de24bfca,children,niños,crianças,The report discusses children in hospitalised patients.,El informe analiza niños en pacientes hospitalizados.,O relatório analisa crianças em pacientes hospitalizados.,Medical exam-style example,clinical
card-3a7a3762ef7b56d0,adults,adultos,adultos,The report discusses adults in hospitalised patients.,El informe analiza adultos en pacientes hospitalizados.,O relatório analisa adultos em pacientes hospitalizados.,Medical exam-style example,clinical
card-08e3c4c91ca5c58e,men,hombres,homens,The report discusses men in hospitalised patients.,El informe analiza hombres en pacientes hospitalizados.,O relatório analisa homens em pacientes hospitalizados.,Medical exam-style example,clinical
card-0ef49a3c92f37310,women,mujeres,mulheres,The report discusses women in hospitalised patients.,El informe analiza mujeres en pacientes hospitalizados.,O relatório analisa mulheres em pacientes hospitalizados.,Medical exam-style example,clinical
card-daf81fe9648c6ae0,dose,dosis,dose,The protocol included dose for selected hospitalised patients.,El protocolo incluyó dosis para pacientes hospitalizados seleccionados.,O protocolo incluiu dose para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-5ecc07de57e17e46,dosage,posología / dosificación,posologia / dosagem,The protocol included dosage for selected hospitalised patients.,El protocolo incluyó posología / dosificación para pacientes hospitalizados seleccionados.,O protocolo incluiu posologia / dosagem para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-f4a85a7509a0a756,drug,fármaco / medicamento,fármaco / medicamento,The protocol included drug for selected hospitalised patients.,El protocolo incluyó fármaco / medicamento para pacientes hospitalizados seleccionados.,O protocolo incluiu fármaco / medicamento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-876636910b597ab4,medication,medicación,medicação,The protocol included medication for selected hospitalised patients.,El protocolo incluyó medicación para pacientes hospitalizados seleccionados.,O protocolo incluiu medicação para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-4af009dcd561b806,therapy,terapia,terapia,The protocol included therapy for selected hospitalised patients.,El protocolo incluyó terapia para pacientes hospitalizados seleccionados.,O protocolo incluiu terapia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-2733e7b0a6b64a7d,standard care,atención estándar,cuidado padrão,The protocol included standard care for selected hospitalised patients.,El protocolo incluyó atención estándar para pacientes hospitalizados seleccionados.,O protocolo incluiu cuidado padrão para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-4a9fdaed0fa05dc0,supportive care,tratamiento de soporte,tratamento de suporte,The protocol included supportive care for selected hospitalised patients.,El protocolo incluyó tratamiento de soporte para pacientes hospitalizados seleccionados.,O protocolo incluiu tratamento de suporte para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-adae432138405e1b,intensive care,cuidados intensivos,terapia intensiva,The protocol included intensive care for selected hospitalised patients.,El protocolo incluyó cuidados intensivos para pacientes hospitalizados seleccionados.,O protocolo incluiu terapia intensiva para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-b909965cdf73761a,mechanical ventilation,ventilación mecánica,ventilação mecânica,The protocol included mechanical ventilation for selected hospitalised patients.,El protocolo incluyó ventilación mecánica para pacientes hospitalizados seleccionados.,O protocolo incluiu ventilação mecânica para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-aee579f77976d212,oxygen therapy,oxigenoterapia,oxigenoterapia,The protocol included oxygen therapy for selected hospitalised patients.,El protocolo incluyó oxigenoterapia para pacientes hospitalizados seleccionados.,O protocolo incluiu oxigenoterapia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-fc00eb484b582cfb,surgery,cirugía,cirurgia,The protocol included surgery for selected hospitalised patients.,El protocolo incluyó cirugía para pacientes hospitalizados seleccionados.,O protocolo incluiu cirurgia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-0487c249731a7d90,procedure,procedimiento,procedimento,The protocol included procedure for selected hospitalised patients.,El protocolo incluyó procedimiento para pacientes hospitalizados seleccionados.,O protocolo incluiu procedimento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-93255449bc2d46d6,prevention,prevención,prevenção,The protocol included prevention for selected hospitalised patients.,El protocolo incluyó prevención para pacientes hospitalizados seleccionados.,O protocolo incluiu prevenção para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-b19136344aa04444,prophylaxis,profilaxis,profilaxia,The protocol included prophylaxis for selected hospitalised patients.,El protocolo incluyó profilaxis para pacientes hospitalizados seleccionados.,O protocolo incluiu profilaxia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-f2f2ccd09d0b8d3f,thromboprophylaxis,tromboprofilaxis,tromboprofilaxia,The protocol included thromboprophylaxis for selected hospitalised patients.,El protocolo incluyó tromboprofilaxis para pacientes hospitalizados seleccionados.,O protocolo incluiu tromboprofilaxia para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-61a84c0422bfc9ed,extended prophylaxis,profilaxis extendida,profilaxia prolongada,The protocol included extended prophylaxis for selected hospitalised patients.,El protocolo incluyó profilaxis extendida para pacientes hospitalizados seleccionados.,O protocolo incluiu profilaxia prolongada para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-a0b82657d4e1d5de,response to treatment,respuesta al tratamiento,resposta ao tratamento,The protocol included response to treatment for selected hospitalised patients.,El protocolo incluyó respuesta al tratamiento para pacientes hospitalizados seleccionados.,O protocolo incluiu resposta ao tratamento para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-01c22c3240b1c3e2,treatment failure,fracaso terapéutico,falha terapêutica,The protocol included treatment failure for selected hospitalised patients.,El protocolo incluyó fracaso terapéutico para pacientes hospitalizados seleccionados.,O protocolo incluiu falha terapêutica para pacientes hospitalizados selecionados.,Medical exam-style example,treatment
card-8c585378513f5f7a,recovery,recuperación,recuperação,The report discusses recovery in hospitalised patients.,El informe analiza recuperación en pacientes hospitalizados.,O relatório analisa recuperação em pacientes hospitalizados.,Medical exam-style example,clinical
card-62a4a0e9fbff1ed4,improvement,mejoría,melhora,The report discusses improvement in hospitalised patients.,El informe analiza mejoría en pacientes hospitalizados.,O relatório analisa melhora em pacientes hospitalizados.,Medical exam-style example,clinical
card-d7e2ff2e440cf884,worsening,empeoramiento,piora / agravamento,The report discusses worsening in hospitalised patients.,El informe analiza empeoramiento en pacientes hospitalizados.,O relatório analisa piora / agravamento em pacientes hospitalizados.,Medical exam-style example,clinical
card-f7fbd5853d11940e,resolution,resolución,resolução,The report discusses resolution in hospitalised patients.,El informe analiza resolución en pacientes hospitalizados.,O relatório analisa resolução em pacientes hospitalizados.,Medical exam-style example,clinical
card-d3178e431d3a03d3,recurrence,recurrencia,recorrência,The report discusses recurrence in hospitalised patients.,El informe analiza recurrencia en pacientes hospitalizados.,O relatório analisa recorrência em pacientes hospitalizados.,Medical exam-style example,clinical
card-f65eb6e52fc30d9b,complication,complicación,complicação,The report discusses complication in hospitalised patients.,El informe analiza complicación en pacientes hospitalizados.,O relatório analisa complicação em pacientes hospitalizados.,Medical exam-style example,clinical
card-86818721a2403b2e,length of stay,duración de la internación,tempo de internação,The report discusses length of stay in hospitalised patients.,El informe analiza duración de la internación en pacientes hospitalizados.,O relatório analisa tempo de internação em pacientes hospitalizados.,Medical exam-style example,clinical
card-51ba749c5a0480e2,readmission,reingreso hospitalario,reinternação,The report discusses readmission in hospitalised patients.,El informe analiza reingreso hospitalario en pacientes hospitalizados.,O relatório analisa reinternação em pacientes hospitalizados.,Medical exam-style example,clinical
card-a24053106f0cbe88,hospital stay,estancia hospitalaria,permanência hospitalar,The report discusses hospital stay in hospitalised patients.,El informe analiza estancia hospitalaria en pacientes hospitalizados.,O relatório analisa permanência hospitalar em pacientes hospitalizados.,Medical exam-style example,clinical
card-96b8f576c788b75e,ward,sala / planta de internación,enfermaria,The report discusses ward in hospitalised patients.,El informe analiza sala / planta de internación en pacientes hospitalizados.,O relatório analisa enfermaria em pacientes hospitalizados.,Medical exam-style example,clinical
card-e5922e334f65dd07,emergency department,servicio de urgencias,pronto-socorro,The report discusses emergency department in hospitalised patients.,El informe analiza servicio de urgencias en pacientes hospitalizados.,O relatório analisa pronto-socorro em pacientes hospitalizados.,Medical exam-style example,clinical
card-490a3f099e036560,intensive care unit,unidad de cuidados intensivos,unidade de terapia intensiva,The report discusses intensive care unit in hospitalised patients.,El informe analiza unidad de cuidados intensivos en pacientes hospitalizados.,O relatório analisa unidade de terapia intensiva em pacientes hospitalizados.,Medical exam-style example,clinical
card-da0e513b86418b1c,physician,médico,médico,The report discusses physician in hospitalised patients.,El informe analiza médico en pacientes hospitalizados.,O relatório analisa médico em pacientes hospitalizados.,Medical exam-style example,clinical
card-781e5116a1e14a34,nurse,enfermero / enfermera,enfermeiro / enfermeira,The report discusses nurse in hospitalised patients.,El informe analiza enfermero / enfermera en pacientes hospitalizados.,O relatório analisa enfermeiro / enfermeira em pacientes hospitalizados.,Medical exam-style example,clinical
card-3588bb7219b1faa3,researcher,investigador,pesquisador,The authors described researcher in the methods and results sections.,Los autores describieron investigador en las secciones de métodos y resultados.,Os autores descreveram pesquisador nas seções de métodos e resultados.,Medical exam-style example,study
card-ea077ff913f0f89b,investigator,investigador,investigador,The authors described investigator in the methods and results sections.,Los autores describieron investigador en las secciones de métodos y resultados.,Os autores descreveram investigador nas seções de métodos e resultados.,Medical exam-style example,study
card-c0cde073e7e5fc1c,participant,participante,participante,The authors described participant in the methods and results sections.,Los autores describieron participante en las secciones de métodos y resultados.,Os autores descreveram participante nas seções de métodos e resultados.,Medical exam-style example,study
card-32857aa2e65d7a40,caregiver,cuidador,cuidador,The report discusses caregiver in hospitalised patients.,El informe analiza cuidador en pacientes hospitalizados.,O relatório analisa cuidador em pacientes hospitalizados.,Medical exam-style example,clinical
card-14b9005e4f90ef7e,assess,evaluar,avaliar,The researchers used the available data to assess the main clinical outcome.,Los investigadores utilizaron los datos disponibles para evaluar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para avaliar o principal desfecho clínico.,Medical exam-style example,verb
card-10aca1d8b724381a,evaluate,evaluar,avaliar,The researchers used the available data to evaluate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para evaluar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para avaliar o principal desfecho clínico.,Medical exam-style example,verb
card-1501661682797862,measure,medir,medir,The researchers used the available data to measure the main clinical outcome.,Los investigadores utilizaron los datos disponibles para medir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para medir o principal desfecho clínico.,Medical exam-style example,verb
card-1241626eb8ca5429,compare,comparar,comparar,The researchers used the available data to compare the main clinical outcome.,Los investigadores utilizaron los datos disponibles para comparar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para comparar o principal desfecho clínico.,Medical exam-style example,verb
card-0f780b5c735e7025,identify,identificar,identificar,The researchers used the available data to identify the main clinical outcome.,Los investigadores utilizaron los datos disponibles para identificar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para identificar o principal desfecho clínico.,Medical exam-style example,verb
card-3d8eefab379df522,determine,determinar,determinar,The researchers used the available data to determine the main clinical outcome.,Los investigadores utilizaron los datos disponibles para determinar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para determinar o principal desfecho clínico.,Medical exam-style example,verb
card-79e1d925e79c904a,estimate,estimar,estimar,The researchers used the available data to estimate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para estimar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para estimar o principal desfecho clínico.,Medical exam-style example,verb
card-845e91831319e89c,report,informar / reportar,relatar / reportar,The researchers used the available data to report the main clinical outcome.,Los investigadores utilizaron los datos disponibles para informar / reportar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para relatar / reportar o principal desfecho clínico.,Medical exam-style example,verb
card-70ce871f8a3d3fb4,record,registrar,registrar,The researchers used the available data to record the main clinical outcome.,Los investigadores utilizaron los datos disponibles para registrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para registrar o principal desfecho clínico.,Medical exam-style example,verb
card-7de97367c9cdc3c6,monitor,monitorear,monitorar,The researchers used the available data to monitor the main clinical outcome.,Los investigadores utilizaron los datos disponibles para monitorear el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para monitorar o principal desfecho clínico.,Medical exam-style example,verb
card-74e892c91130daa5,observe,observar,observar,The researchers used the available data to observe the main clinical outcome.,Los investigadores utilizaron los datos disponibles para observar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para observar o principal desfecho clínico.,Medical exam-style example,verb
card-dc726d0a525fdaf7,suggest,sugerir,sugerir,The researchers used the available data to suggest the main clinical outcome.,Los investigadores utilizaron los datos disponibles para sugerir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para sugerir o principal desfecho clínico.,Medical exam-style example,verb
card-a18603086e5bdf9d,support,respaldar / apoyar,apoiar,The researchers used the available data to support the main clinical outcome.,Los investigadores utilizaron los datos disponibles para respaldar / apoyar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para apoiar o principal desfecho clínico.,Medical exam-style example,verb
card-4932c716f725df5e,indicate,indicar,indicar,The researchers used the available data to indicate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para indicar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para indicar o principal desfecho clínico.,Medical exam-style example,verb
card-a65dd3628de58bb9,demonstrate,demostrar,demonstrar,The researchers used the available data to demonstrate the main clinical outcome.,Los investigadores utilizaron los datos disponibles para demostrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para demonstrar o principal desfecho clínico.,Medical exam-style example,verb
card-3f267c2ab422e502,confirm,confirmar,confirmar,The researchers used the available data to confirm the main clinical outcome.,Los investigadores utilizaron los datos disponibles para confirmar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para confirmar o principal desfecho clínico.,Medical exam-style example,verb
card-da30dfd59a8a5d05,rule out,descartar,descartar,The researchers used the available data to rule out the main clinical outcome.,Los investigadores utilizaron los datos disponibles para descartar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para descartar o principal desfecho clínico.,Medical exam-style example,verb
card-8e9afe9d1df3927e,predict,predecir,predizer,The researchers used the available data to predict the main clinical outcome.,Los investigadores utilizaron los datos disponibles para predecir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para predizer o principal desfecho clínico.,Medical exam-style example,verb
card-b4d5a180d618df82,prevent,prevenir,prevenir,The researchers used the available data to prevent the main clinical outcome.,Los investigadores utilizaron los datos disponibles para prevenir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para prevenir o principal desfecho clínico.,Medical exam-style example,verb
card-181229424893bb65,manage,manejar / tratar,manejar / tratar,The researchers used the available data to manage the main clinical outcome.,Los investigadores utilizaron los datos disponibles para manejar / tratar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para manejar / tratar o principal desfecho clínico.,Medical exam-style example,verb
card-b56796f7ef8f8c0b,administer,administrar,administrar,The researchers used the available data to administer the main clinical outcome.,Los investigadores utilizaron los datos disponibles para administrar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para administrar o principal desfecho clínico.,Medical exam-style example,verb
card-6ce34a94e412486a,prescribe,prescribir,prescrever,The researchers used the available data to prescribe the main clinical outcome.,Los investigadores utilizaron los datos disponibles para prescribir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para prescrever o principal desfecho clínico.,Medical exam-style example,verb
card-c2bf4fdc2bc8fe77,undergo,someterse a,submeter-se a,The researchers used the available data to undergo the main clinical outcome.,Los investigadores utilizaron los datos disponibles para someterse a el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para submeter-se a o principal desfecho clínico.,Medical exam-style example,verb
card-c4d0cf241a1bfa1c,require,requerir / necesitar,necessitar,The researchers used the available data to require the main clinical outcome.,Los investigadores utilizaron los datos disponibles para requerir / necesitar el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para necessitar o principal desfecho clínico.,Medical exam-style example,verb
card-fc2b6c264e75e681,remain,permanecer,permanecer,The researchers used the available data to remain the main clinical outcome.,Los investigadores utilizaron los datos disponibles para permanecer el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para permanecer o principal desfecho clínico.,Medical exam-style example,verb
card-def696de03d9fc35,occur,ocurrir,ocorrer,The researchers used the available data to occur the main clinical outcome.,Los investigadores utilizaron los datos disponibles para ocurrir el principal desenlace clínico.,Os pesquisadores utilizaram os dados disponíveis para ocorrer o principal desfecho clínico.,Medical exam-style example,verb
