english,spanish,portuguese,example_en,example_es,example_pt,source,tags
dose reduction,reducción de dosis,redução da dose,The HYPRESS trial evaluated dose reduction in adults with severe sepsis.,El ensayo HYPRESS evaluó reducción de dosis en adultos con sepsis grave.,O estudo HYPRESS avaliou redução da dose em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
trial registration,registro del ensayo,registro do ensaio,The HYPRESS trial evaluated trial registration in adults with severe sepsis.,El ensayo HYPRESS evaluó registro del ensayo en adultos con sepsis grave.,O estudo HYPRESS avaliou registro do ensaio em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
university hospital,hospital universitario,hospital universitário,The HYPRESS trial evaluated university hospital in adults with severe sepsis.,El ensayo HYPRESS evaluó hospital universitario en adultos con sepsis grave.,O estudo HYPRESS avaliou hospital universitário em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
clinical relevance,relevancia clínica,relevância clínica,The HYPRESS trial evaluated clinical relevance in adults with severe sepsis.,El ensayo HYPRESS evaluó relevancia clínica en adultos con sepsis grave.,O estudo HYPRESS avaliou relevância clínica em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
sepsis management,manejo de la sepsis,manejo da sepse,The HYPRESS trial evaluated sepsis management in adults with severe sepsis.,El ensayo HYPRESS evaluó manejo de la sepsis en adultos con sepsis grave.,O estudo HYPRESS avaliou manejo da sepse em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
shock prevention,prevención del shock,prevenção do choque,The HYPRESS trial evaluated shock prevention in adults with severe sepsis.,El ensayo HYPRESS evaluó prevención del shock en adultos con sepsis grave.,O estudo HYPRESS avaliou prevenção do choque em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
critical care trial,ensayo de cuidados críticos,ensaio de terapia intensiva,The HYPRESS trial evaluated critical care trial in adults with severe sepsis.,El ensayo HYPRESS evaluó ensayo de cuidados críticos en adultos con sepsis grave.,O estudo HYPRESS avaliou ensaio de terapia intensiva em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
adults with severe sepsis,adultos con sepsis grave,adultos com sepse grave,The HYPRESS trial evaluated adults with severe sepsis in adults with severe sepsis.,El ensayo HYPRESS evaluó adultos con sepsis grave en adultos con sepsis grave.,O estudo HYPRESS avaliou adultos com sepse grave em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
follow-up period,período de seguimiento,período de acompanhamento,The HYPRESS trial evaluated follow-up period in adults with severe sepsis.,El ensayo HYPRESS evaluó período de seguimiento en adultos con sepsis grave.,O estudo HYPRESS avaliou período de acompanhamento em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
mortality assessment,evaluación de la mortalidad,avaliação da mortalidade,The HYPRESS trial evaluated mortality assessment in adults with severe sepsis.,El ensayo HYPRESS evaluó evaluación de la mortalidad en adultos con sepsis grave.,O estudo HYPRESS avaliou avaliação da mortalidade em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
secondary infection rate,tasa de infección secundaria,taxa de infecção secundária,The HYPRESS trial evaluated secondary infection rate in adults with severe sepsis.,El ensayo HYPRESS evaluó tasa de infección secundaria en adultos con sepsis grave.,O estudo HYPRESS avaliou taxa de infecção secundária em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
glucocorticoid therapy,terapia con glucocorticoides,terapia com glicocorticoide,The HYPRESS trial evaluated glucocorticoid therapy in adults with severe sepsis.,El ensayo HYPRESS evaluó terapia con glucocorticoides en adultos con sepsis grave.,O estudo HYPRESS avaliou terapia com glicocorticoide em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
septic shock risk,riesgo de shock séptico,risco de choque séptico,The HYPRESS trial evaluated septic shock risk in adults with severe sepsis.,El ensayo HYPRESS evaluó riesgo de shock séptico en adultos con sepsis grave.,O estudo HYPRESS avaliou risco de choque séptico em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
clinical recommendation,recomendación clínica,recomendação clínica,The HYPRESS trial evaluated clinical recommendation in adults with severe sepsis.,El ensayo HYPRESS evaluó recomendación clínica en adultos con sepsis grave.,O estudo HYPRESS avaliou recomendação clínica em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
treatment effect,efecto del tratamiento,efeito do tratamento,The HYPRESS trial evaluated treatment effect in adults with severe sepsis.,El ensayo HYPRESS evaluó efecto del tratamiento en adultos con sepsis grave.,O estudo HYPRESS avaliou efeito do tratamento em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
risk reduction was not observed,no se observó reducción del riesgo,não foi observada redução do risco,The HYPRESS trial evaluated risk reduction was not observed in adults with severe sepsis.,El ensayo HYPRESS evaluó no se observó reducción del riesgo en adultos con sepsis grave.,O estudo HYPRESS avaliou não foi observada redução do risco em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
continuous drug infusion,infusión continua del fármaco,infusão contínua do fármaco,The HYPRESS trial evaluated continuous drug infusion in adults with severe sepsis.,El ensayo HYPRESS evaluó infusión continua del fármaco en adultos con sepsis grave.,O estudo HYPRESS avaliou infusão contínua do fármaco em adultos com sepse grave.,Adapted from HYPRESS PubMed abstract,hypress
cardiovascular safety profile,perfil de seguridad cardiovascular,perfil de segurança cardiovascular,The DECLARE-TIMI 58 trial assessed cardiovascular safety profile in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó perfil de seguridad cardiovascular en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou perfil de segurança cardiovascular em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
selective inhibitor,inhibidor selectivo,inibidor seletivo,The DECLARE-TIMI 58 trial assessed selective inhibitor in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó inhibidor selectivo en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou inibidor seletivo em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
sodium-glucose cotransporter 2,cotransportador de sodio-glucosa 2,cotransportador de sódio-glicose 2,The DECLARE-TIMI 58 trial assessed sodium-glucose cotransporter 2 in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó cotransportador de sodio-glucosa 2 en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou cotransportador de sódio-glicose 2 em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
promotes glucosuria,promueve la glucosuria,promove glicosúria,The DECLARE-TIMI 58 trial assessed promotes glucosuria in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó promueve la glucosuria en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou promove glicosúria em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
atherosclerotic cardiovascular disease,enfermedad cardiovascular aterosclerótica,doença cardiovascular aterosclerótica,The DECLARE-TIMI 58 trial assessed atherosclerotic cardiovascular disease in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó enfermedad cardiovascular aterosclerótica en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou doença cardiovascular aterosclerótica em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
at risk for,con riesgo de,em risco de,The DECLARE-TIMI 58 trial assessed at risk for in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó con riesgo de en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou em risco de em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
primary safety outcome,desenlace primario de seguridad,desfecho primário de segurança,The DECLARE-TIMI 58 trial assessed primary safety outcome in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó desenlace primario de seguridad en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou desfecho primário de segurança em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
primary efficacy outcome,desenlace primario de eficacia,desfecho primário de eficácia,The DECLARE-TIMI 58 trial assessed primary efficacy outcome in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó desenlace primario de eficacia en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou desfecho primário de eficácia em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
major adverse cardiovascular events,eventos cardiovasculares adversos mayores,eventos cardiovasculares adversos maiores,The DECLARE-TIMI 58 trial assessed major adverse cardiovascular events in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó eventos cardiovasculares adversos mayores en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou eventos cardiovasculares adversos maiores em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
renal composite,desenlace renal compuesto,desfecho renal composto,The DECLARE-TIMI 58 trial assessed renal composite in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó desenlace renal compuesto en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou desfecho renal composto em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
estimated glomerular filtration rate,tasa de filtración glomerular estimada,taxa de filtração glomerular estimada,The DECLARE-TIMI 58 trial assessed estimated glomerular filtration rate in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó tasa de filtración glomerular estimada en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou taxa de filtração glomerular estimada em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
body-surface area,superficie corporal,superfície corporal,The DECLARE-TIMI 58 trial assessed body-surface area in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó superficie corporal en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou superfície corporal em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
end-stage renal disease,enfermedad renal terminal,doença renal terminal,The DECLARE-TIMI 58 trial assessed end-stage renal disease in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó enfermedad renal terminal en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou doença renal terminal em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
death from any cause,muerte por cualquier causa,morte por qualquer causa,The DECLARE-TIMI 58 trial assessed death from any cause in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó muerte por cualquier causa en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou morte por qualquer causa em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
prespecified criterion,criterio preespecificado,critério pré-especificado,The DECLARE-TIMI 58 trial assessed prespecified criterion in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó criterio preespecificado en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou critério pré-especificado em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
noninferiority,no inferioridad,não inferioridade,The DECLARE-TIMI 58 trial assessed noninferiority in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó no inferioridad en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou não inferioridade em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
upper boundary,límite superior,limite superior,The DECLARE-TIMI 58 trial assessed upper boundary in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó límite superior en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou limite superior em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
with respect to,con respecto a,em relação a,The DECLARE-TIMI 58 trial assessed with respect to in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó con respecto a en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou em relação a em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
did not result in,no produjo,não resultou em,The DECLARE-TIMI 58 trial assessed did not result in in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó no produjo en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou não resultou em em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
lower rate,tasa menor,taxa menor,The DECLARE-TIMI 58 trial assessed lower rate in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó tasa menor en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou taxa menor em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
hospitalization for heart failure,hospitalización por insuficiencia cardíaca,hospitalização por insuficiência cardíaca,The DECLARE-TIMI 58 trial assessed hospitalization for heart failure in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó hospitalización por insuficiencia cardíaca en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou hospitalização por insuficiência cardíaca em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
reflected a lower rate,reflejó una tasa menor,refletiu uma taxa menor,The DECLARE-TIMI 58 trial assessed reflected a lower rate in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó reflejó una tasa menor en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou refletiu uma taxa menor em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
between-group difference,diferencia entre grupos,diferença entre grupos,The DECLARE-TIMI 58 trial assessed between-group difference in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó diferencia entre grupos en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou diferença entre grupos em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
renal event,evento renal,evento renal,The DECLARE-TIMI 58 trial assessed renal event in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó evento renal en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou evento renal em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
respectively,respectivamente,respectivamente,The DECLARE-TIMI 58 trial assessed respectively in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó respectivamente en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou respectivamente em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
diabetic ketoacidosis,cetoacidosis diabética,cetoacidose diabética,The DECLARE-TIMI 58 trial assessed diabetic ketoacidosis in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó cetoacidosis diabética en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou cetoacidose diabética em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
more common with,más frecuente con,mais comum com,The DECLARE-TIMI 58 trial assessed more common with in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó más frecuente con en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou mais comum com em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
genital infection,infección genital,infecção genital,The DECLARE-TIMI 58 trial assessed genital infection in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó infección genital en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou infecção genital em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
led to discontinuation,llevó a la suspensión,levou à descontinuação,The DECLARE-TIMI 58 trial assessed led to discontinuation in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó llevó a la suspensión en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou levou à descontinuação em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
discontinuation of the regimen,suspensión del régimen,descontinuação do regime,The DECLARE-TIMI 58 trial assessed discontinuation of the regimen in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó suspensión del régimen en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou descontinuação do regime em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
considered serious,considerado grave,considerado grave,The DECLARE-TIMI 58 trial assessed considered serious in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó considerado grave en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou considerado grave em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
funded by,financiado por,financiado por,The DECLARE-TIMI 58 trial assessed funded by in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó financiado por en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou financiado por em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
clinical trial number,número del ensayo clínico,número do ensaio clínico,The DECLARE-TIMI 58 trial assessed clinical trial number in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó número del ensayo clínico en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou número do ensaio clínico em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
safety analysis,análisis de seguridad,análise de segurança,The DECLARE-TIMI 58 trial assessed safety analysis in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó análisis de seguridad en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou análise de segurança em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
efficacy analysis,análisis de eficacia,análise de eficácia,The DECLARE-TIMI 58 trial assessed efficacy analysis in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó análisis de eficacia en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou análise de eficácia em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
renal cause,causa renal,causa renal,The DECLARE-TIMI 58 trial assessed renal cause in patients with type 2 diabetes.,El ensayo DECLARE-TIMI 58 evaluó causa renal en pacientes con diabetes tipo 2.,O estudo DECLARE-TIMI 58 avaliou causa renal em pacientes com diabetes tipo 2.,Adapted from DECLARE PubMed abstract,declare
