english,spanish,portuguese,tags
fatiguing activities,actividades fatigantes,atividades fatigantes,mecfs
sensation of fatigue,sensación de fatiga,sensação de fadiga,mecfs
brain regions,regiones cerebrales,regiões cerebrais,mecfs
spinal fluid,líquido cefalorraquídeo,líquido cefalorraquidiano,mecfs
catecholamines,catecolaminas,catecolaminas,mecfs
motor performance,rendimiento motor,desempenho motor,mecfs
naïve B cells,células B vírgenes,células B naïve,mecfs
switched memory B cells,células B de memoria con cambio de clase,células B de memória com troca de classe,mecfs
immune-cell activity,actividad de células inmunitarias,atividade de células imunes,mecfs
gene expression,expresión génica,expressão gênica,mecfs
metabolic markers,marcadores metabólicos,marcadores metabólicos,mecfs
objective evidence,evidencia objetiva,evidência objetiva,mecfs
exploratory design,diseño exploratorio,desenho exploratório,mecfs
reliable therapeutic targets,dianas terapéuticas confiables,alvos terapêuticos confiáveis,mecfs
intensive study,estudio intensivo,estudo intensivo,mecfs
alternative explanations,explicaciones alternativas,explicações alternativas,mecfs
detailed set of measurements,conjunto detallado de mediciones,conjunto detalhado de medições,mecfs
cognitive performance,rendimiento cognitivo,desempenho cognitivo,mecfs
metabolism,metabolismo,metabolismo,mecfs
effort to exert,esfuerzo por realizar,esforço a realizar,mecfs
sustaining effort,mantener el esfuerzo,sustentar o esforço,mecfs
altered communication,comunicación alterada,comunicação alterada,mecfs
poorer motor performance,peor rendimiento motor,pior desempenho motor,mecfs
metabolic systems,sistemas metabólicos,sistemas metabólicos,mecfs
interpreted cautiously,interpretado con cautela,interpretado com cautela,mecfs
larger and more diverse populations,poblaciones mayores y más diversas,populações maiores e mais diversas,mecfs
cannabis use,consumo de cannabis,uso de cannabis,cannabis
medical or recreational access,acceso médico o recreativo,acesso medicinal ou recreativo,cannabis
cardiovascular effects,efectos cardiovasculares,efeitos cardiovasculares,cannabis
tobacco smoke,humo de tabaco,fumaça de tabaco,cannabis
toxic substances,sustancias tóxicas,substâncias tóxicas,cannabis
cannabinoids,cannabinoides,canabinoides,cannabis
Behavioral Risk Factor Surveillance System,Sistema de Vigilancia de Factores de Riesgo Conductual,Sistema de Vigilância de Fatores de Risco Comportamental,cannabis
telephone survey,encuesta telefónica,pesquisa telefônica,cannabis
route of administration,vía de administración,via de administração,cannabis
coronary heart disease,enfermedad coronaria,doença coronariana,cannabis
physical activity,actividad física,atividade física,cannabis
oral consumption,consumo oral,consumo oral,cannabis
daily users,usuarios diarios,usuários diários,cannabis
heart attack,infarto,infarto,cannabis
greater likelihood,mayor probabilidad,maior probabilidade,cannabis
self-reported,autoinformado,autorrelatado,cannabis
cannabis exposure,exposición al cannabis,exposição à cannabis,cannabis
cardiovascular diagnoses,diagnósticos cardiovasculares,diagnósticos cardiovasculares,cannabis
timing of events,momento de los eventos,momento dos eventos,cannabis
unmeasured differences,diferencias no medidas,diferenças não medidas,cannabis
non-users,no usuarios,não usuários,cannabis
potential cardiovascular risks,posibles riesgos cardiovasculares,possíveis riscos cardiovasculares,cannabis
frequent users,usuarios frecuentes,usuários frequentes,cannabis
causality,causalidad,causalidade,cannabis
plant-derived product,producto de origen vegetal,produto derivado de planta,cannabis
public health messages,mensajes de salud pública,mensagens de saúde pública,cannabis
cardiovascular prevention,prevención cardiovascular,prevenção cardiovascular,cannabis
cannabis products,productos de cannabis,produtos de cannabis,cannabis
vaping,vapeo,vape,cannabis
odds of reporting,probabilidades de informar,chances de relatar,cannabis
frequency and route,frecuencia y vía,frequência e via,cannabis
recreational access,acceso recreativo,acesso recreativo,cannabis
burning cannabis,combustión de cannabis,queima de cannabis,cannabis
heart rate,frecuencia cardíaca,frequência cardíaca,cannabis
previous month,mes anterior,mês anterior,cannabis
health professional,profesional sanitario,profissional de saúde,cannabis
smoking cannabis,fumar cannabis,fumar cannabis,cannabis
eating cannabis products,ingerir productos de cannabis,ingerir produtos de cannabis,cannabis
daily cannabis use,consumo diario de cannabis,uso diário de cannabis,cannabis
higher odds,mayores probabilidades,maiores chances,cannabis
younger adults,adultos jóvenes,adultos jovens,cannabis
cardiovascular prevention often focuses,la prevención cardiovascular suele centrarse,a prevenção cardiovascular costuma se concentrar,cannabis
objective measurements,mediciones objetivas,medições objetivas,cannabis
biological mechanisms,mecanismos biológicos,mecanismos biológicos,cannabis
different forms of cannabis,diferentes formas de cannabis,diferentes formas de cannabis,cannabis
routine conversations,conversaciones habituales,conversas rotineiras,cannabis
legal product,producto legal,produto legal,cannabis
harmless,inocuo,inofensivo,cannabis
cardiovascular health,salud cardiovascular,saúde cardiovascular,cannabis
frequency of use,frecuencia de consumo,frequência de uso,cannabis
antibiotic resistance,resistencia a los antibióticos,resistência aos antibióticos,antimicrobial
bacteria,bacterias,bactérias,antimicrobial
common infections,infecciones comunes,infecções comuns,antimicrobial
prolonged hospital stays,estancias hospitalarias prolongadas,internações hospitalares prolongadas,antimicrobial
routine surgery,cirugía habitual,cirurgia de rotina,antimicrobial
medical procedures,procedimientos médicos,procedimentos médicos,antimicrobial
effective antibiotics,antibióticos eficaces,antibióticos eficazes,antimicrobial
misuse,uso indebido,uso inadequado,antimicrobial
overuse,uso excesivo,uso excessivo,antimicrobial
appropriate treatment,tratamiento adecuado,tratamento adequado,antimicrobial
laboratory-confirmed infections,infecciones confirmadas por laboratorio,infecções confirmadas por laboratório,antimicrobial
bloodstream infections,infecciones del torrente sanguíneo,infecções da corrente sanguínea,antimicrobial
urinary tract,tracto urinario,trato urinário,antimicrobial
gastrointestinal tracts,tractos gastrointestinales,tratos gastrointestinais,antimicrobial
urogenital gonorrhoea,gonorrea urogenital,gonorreia urogenital,antimicrobial
Global Antimicrobial Resistance and Use Surveillance System,Sistema Mundial de Vigilancia de la Resistencia y el Uso de Antimicrobianos,Sistema Global de Vigilância da Resistência e do Uso de Antimicrobianos,antimicrobial
bacterial pathogens,patógenos bacterianos,patógenos bacterianos,antimicrobial
pathogen–antibiotic combinations,combinaciones patógeno-antibiótico,combinações patógeno-antibiótico,antimicrobial
annual rises,aumentos anuales,aumentos anuais,antimicrobial
laboratory capacity,capacidad de laboratorio,capacidade laboratorial,antimicrobial
restricted access,acceso restringido,acesso restrito,antimicrobial
drug-resistant Gram-negative bacteria,bacterias gramnegativas resistentes,bactérias gram-negativas resistentes,antimicrobial
Escherichia coli,Escherichia coli,Escherichia coli,antimicrobial
Klebsiella pneumoniae,Klebsiella pneumoniae,Klebsiella pneumoniae,antimicrobial
third-generation cephalosporins,cefalosporinas de tercera generación,cefalosporinas de terceira geração,antimicrobial
first-choice drugs,medicamentos de primera elección,medicamentos de primeira escolha,antimicrobial
carbapenems,carbapenémicos,carbapenêmicos,antimicrobial
fluoroquinolones,fluoroquinolonas,fluoroquinolonas,antimicrobial
affordable treatment options,opciones terapéuticas asequibles,opções terapêuticas acessíveis,antimicrobial
reliable estimates,estimaciones confiables,estimativas confiáveis,antimicrobial
responsible antibiotic use,uso responsable de antibióticos,uso responsável de antibióticos,antimicrobial
reliable diagnostics,diagnósticos confiables,diagnósticos confiáveis,antimicrobial
infection prevention,prevención de infecciones,prevenção de infecções,antimicrobial
One Health approach,enfoque de Una Salud,abordagem de Saúde Única,antimicrobial
environmental health,salud ambiental,saúde ambiental,antimicrobial
global analysis,análisis mundial,análise global,antimicrobial
cancer treatment,tratamiento del cáncer,tratamento do câncer,antimicrobial
severe disease,enfermedad grave,doença grave,antimicrobial
antimicrobial resistance,resistencia a los antimicrobianos,resistência antimicrobiana,antimicrobial
surveillance system,sistema de vigilancia,sistema de vigilância,antimicrobial
resistant to the antibiotic,resistente al antibiótico,resistente ao antibiótico,antimicrobial
monitored combinations,combinaciones monitoreadas,combinações monitoradas,antimicrobial
regional estimates,estimaciones regionales,estimativas regionais,antimicrobial
national estimates,estimaciones nacionales,estimativas nacionais,antimicrobial
South-East Asian region,región de Asia Sudoriental,região do Sudeste Asiático,antimicrobial
Eastern Mediterranean region,región del Mediterráneo Oriental,região do Mediterrâneo Oriental,antimicrobial
weak surveillance,vigilancia deficiente,vigilância deficiente,antimicrobial
Gram-negative bacteria,bacterias gramnegativas,bactérias gram-negativas,antimicrobial
severe bloodstream infections,infecciones graves del torrente sanguíneo,infecções graves da corrente sanguínea,antimicrobial
organ failure,insuficiencia orgánica,falência de órgãos,antimicrobial
reporting countries,países informantes,países notificantes,antimicrobial
important gaps,brechas importantes,lacunas importantes,antimicrobial
stronger laboratories,laboratorios más sólidos,laboratórios mais robustos,antimicrobial
higher-quality surveillance,vigilancia de mayor calidad,vigilância de maior qualidade,antimicrobial
antibiotic use,uso de antibióticos,uso de antibióticos,antimicrobial
development of new treatments,desarrollo de nuevos tratamientos,desenvolvimento de novos tratamentos,antimicrobial
